1,2
1,1
2,1
2,18
3,1
3,18
4,1
5,1
6,1
6,9
6,14
6,18
7,1
8,1
8,7
8,14
8,18
9,1
10,1
11,1
12,1
13,1
13,7
13,9
13,18
14,1
15,1
16,1
17,1
17,3
17,4
17,7
17,9
17,14
17,24
18,1
19,1
20,1
21,1
22,1
23,1
23,18
24,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
19,1
20,1
21,1
22,1
23,1
24,1
20,1
21,1
22,1
23,1
24,1
21,1
22,1
23,1
24,1
22,1
23,1
24,1
23,1
24,1
24,1
